Country Name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,(blank),Grand Total
Uruguay,,,,,,,,,,,,,,,,7.494,9.162,9.513,8.53,5.787,7.562,5.467,9.272,8.518,8.648,11.026,10.373,10.609,11.471,12.858,13.588,13.778,14.267,14.535,15.99,13.482,,,221.93
Uzbekistan,47.939,52.171,54.755,50.59,55.874,56.325,54.165,50.911,49.149,47.8,47.453,45.419,46.054,45.9,45.372,44.323,44.949,46.661,46.817,47.404,46.974,43.907,44.607,40.201,44.601,49.266,49.921,50.15,51.627,52.723,54.552,56.004,58.066,59.424,61.046,,,,1743.1
Vanuatu,,,,,,,,,,,,,,,,0.039,0.043,0.042,0.041,0.04,0.041,0.042,0.045,0.052,0.052,0.058,0.059,0.062,0.063,0.063,0.06,0.063,0.064,0.07,0.074,,,,1.073
Venezuela,47.29,50.112,54.132,58.245,57.62,59.321,63.337,67.44,69.382,71.221,73.446,75.588,78.066,80.904,80.585,83.24,87.733,86.646,89.267,96.216,101.385,107.904,111.842,116.482,116.703,110.78,115.069,118.488,120.023,100.333,119.181,104.654,100.581,96.665,89.16,,,,3059.041
Vietnam,5.069,5.527,6.051,6.785,7.784,8.681,9.21,9.705,10.662,12.288,14.648,16.944,19.132,21.688,23.559,25.695,29.683,34.559,39.42,44.152,51.36,57.953,63.635,70.3,79.693,90.599,99.889,113.191,115.955,133.073,156.357,174.563,191.222,230.729,259.449,267.18,,,2506.39
Western Africa,18.222,20.252,21.439,22.192,23.779,24.422,25.496,26.711,26.614,27.632,28.638,30.08,31.081,28.925,31.777,31.763,33.758,40.073,37.342,42.288,42.755,44.13,43.092,43.064,42.185,50.115,51.899,53.941,59.144,62.406,63.316,67.116,69.375,72.688,75.403,,,,1413.113
Western Sahara,,,,,,,,,,,,,,,,0.08,0.08,0.085,0.085,0.085,0.085,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,,,,0.86
World,9879.23,10174.033,10664.348,11133.466,11653.969,11957.406,12218.525,12329.877,12591.805,12916.687,13375.217,13789.21,14120.457,14502.704,14917.527,14777.982,15035.069,15556.98,16089.074,16861.941,17509.037,18251.741,19143.516,19441.839,19376.943,20780.518,21501.62,21946.81,22540.339,22952.241,23313.937,23925.445,24570.376,25559.572,25899.806,25849.919,,,617109.166
Yemen,,,,,,,,,,,,,,,,3.208,3.424,3.543,3.85,4.103,4.482,5.064,5.665,6.153,6.339,7.292,5.834,6.652,7.995,7.196,5.917,4.808,4.061,3.42,2.513,,,,101.519
Zambia,,,,,,,,,,,,,,,,7.757,7.9,8.107,8.261,8.458,8.886,9.666,9.604,9.491,9.862,10.409,11.448,12.311,13.232,14.359,13.36,11.621,14.312,15.981,16.855,,,,221.88
Zimbabwe,,,,,,,,,,,,,,,,6.738,7.582,8.263,8.539,9.411,9.035,7.577,7.287,7.387,7.112,8.441,8.929,8.929,9.256,9.707,9.388,6.826,7.31,9.133,9.046,,,,165.896
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,25738.642,26540.894,27842.261,29051.621,30356.882,33497.56,34218.593,34497.333,35123.768,36006.951,37279.21,38445.891,39333.932,40337.71,41464.175,42199.302,43117.382,44574.651,46231.055,48504.587,50375.944,52534.138,55051.555,56040.611,55801.277,59822.564,61860.803,63299.056,65036.744,66358.995,67354.294,69238.132,71324.666,74122.476,75169.003,52026.211,6589.37,,1736368.239
