Country Name,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,(blank),Grand Total
Cuba,,,,,,,,,,,,,,,,14.192,14.441,14.82,14.912,14.748,14.451,15.51,16.6,16.669,16.72,16.386,16.73,17.362,18.041,18.25,19.119,19.278,19.371,19.631,19.766,,,,336.997
Cyprus,1.319,1.423,1.501,1.647,1.831,1.97,2.08,2.43,2.59,2.68,2.5,2.61,2.73,2.99,3.14,3.37,3.55,3.79,4.05,4.2,4.38,4.65,4.87,5.07,5.21,5.33,4.92,4.72,4.29,4.34,4.54,4.89,5,5.06,5.15,4.96,5.13,,134.911
Czechia,58.121,60.606,62.196,64.334,65.131,62.27,60.3,59.05,58.67,58.4,60.58,63.83,64.21,64.62,64.17,72.9,74.22,76,82.79,83.79,81.93,83.66,87.77,83.28,81.64,85.24,86.67,86.61,85.94,85.01,82.52,82.01,85.77,86.86,85.74,81.1,84.33,,2752.268
Democratic Republic of Congo,,,,,,,,,,,,,,,,5.942,5.919,6.057,6.105,7.015,7.326,7.464,7.776,7.451,7.755,7.822,7.816,7.536,8.174,8.762,8.864,9.048,9.422,10.476,11.011,,,,157.741
Denmark,29.143,30.783,29.489,28.07,22.934,25.98,36.54,30.75,33.98,40.58,36.74,53.56,44.28,41.08,38.89,36,37.72,39.28,46.16,40.42,36.23,45.61,39.31,36.62,36.38,38.87,35.22,30.7,34.74,32.19,28.93,30.55,31.03,30.36,29.52,28.86,33.53,,1301.029
Djibouti,,,,,,,,,,,,,,,,0.18,0.179,0.188,0.188,0.202,0.24,0.263,0.304,0.319,0.328,0.356,0.364,0.368,0.408,0.094,0.168,0.084,0.056,0.041,0.041,,,,4.371
Dominica,,,,,,,,,,,,,,,,0.074,0.078,0.071,0.076,0.076,0.079,0.081,0.082,0.083,0.089,0.095,0.098,0.097,0.097,0.098,0.103,0.108,0.083,0.064,0.09,,,,1.722
Dominican Republic,,,,,,,,,,,,,,,,8.067,9.733,11.816,12.543,11.188,11.98,13.06,13.65,11.676,11.558,13.988,14.93,15.799,16.727,16.282,16.917,17.671,18.045,18.616,18.515,,,,282.761
Eastern Africa,24.101,24.675,24.88,27.228,26.429,30.019,31.428,28.78,30.312,30.735,31.729,31.468,33.486,38.842,41.048,42.277,46.296,48.18,47.835,50.996,54.229,56.285,59.493,61.752,66.463,73.997,78.458,81.635,86.88,93.088,98.012,97.818,103.43,105.976,115.279,,,,1923.539
Ecuador,4.558,5.012,5.384,5.641,5.769,6.349,6.974,7.196,7.411,8.144,8.429,9.679,10.362,10.89,10.308,10.356,10.74,11.551,11.212,13.089,12.162,14.128,16.585,18.265,17.929,18.785,19.885,22.106,22.442,23.451,25.07,26.49,27.391,28.545,31.679,,,,493.967
Egypt,30.254,32.461,35.654,38.712,40.614,41.952,43.276,44.987,46.737,48.55,50.652,53.57,56.784,60.697,65.73,74.462,79.366,84.814,90.47,96.21,103.161,109.499,118.787,124.313,131.681,139.059,136.462,142.006,145.547,151.988,163.587,167.733,175.058,184.516,193.546,,,,3302.895
El Salvador,,,,,,,,,,,,,,,,3.726,3.79,3.973,4.265,4.35,4.714,5.598,5.724,5.874,5.745,5.756,5.839,5.968,6.022,5.976,5.613,5.601,4.879,4.772,5.29,,,,103.475
Equatorial Guinea,,,,,,,,,,,,,,,,0.083,0.053,0.107,0.12,0.163,0.27,0.329,0.391,0.457,0.514,0.576,0.65,0.899,1.402,1.611,1.626,1.437,1.276,1.421,1.353,,,,14.738
Eritrea,,,,,,,,,,,,,,,,0.197,0.219,0.244,0.26,0.266,0.271,0.253,0.271,0.27,0.277,0.294,0.305,0.315,0.322,0.328,0.335,0.341,0.367,0.469,0.517,,,,6.121
Estonia,17.827,17.951,17.9,17.627,17.611,17.18,14.63,11.83,9.12,9.15,8.69,9.09,9.22,8.52,8.26,8.51,8.49,8.53,10.16,10.31,10.2,9.73,12.18,10.58,8.78,12.97,12.89,11.96,13.28,12.45,10.15,12.17,13.16,12.37,7.61,6.06,7.52,,424.666
Ethiopia,,,,,,,,,,,,,,,,1.701,2.035,2.068,2.32,2.562,2.869,3.29,3.547,3.765,3.98,4.99,6.318,7.557,8.661,9.473,10.389,12.468,13.141,13.475,14.579,,,,129.188
Europe,2883.686,2946.477,3044.783,3130.354,3193.065,3212.793,3230.116,3190.362,3174.728,3192.618,3279.587,3353.865,3389.195,3466.419,3509.427,3620.283,3685.098,3718.569,3811.589,3898.06,3959.874,4015.794,4064.693,4088.565,3894.692,4065.763,4019.423,4052.4,4020.593,3938.483,3982.879,4023.097,4062.183,4067.16,3993.349,,,,127180.022
European Union (27),,,,,,2257.49,2298,2282.31,2284.82,2323.23,2389.05,2472.1,2484.75,2535.28,2560.61,2629.52,2705.81,2723.73,2803.78,2871.94,2885.46,2937.34,2953.85,2966.69,2815.21,2952.84,2911.44,2906.31,2887.62,2828.09,2873.38,2895.02,2926.46,2913.9,2878.56,2768.37,2870.43,,86793.39
Falkland Islands,,,,,,,,,,,,,,,,0.014,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.018,0.018,0.016,0.016,0.017,0.019,0.019,0.019,0.021,0.02,0.02,0.02,,,,0.344
Faroe Islands,,,,,,,,,,,,,,,,0.204,0.221,0.231,0.238,0.239,0.236,0.25,0.259,0.265,0.265,0.268,0.264,0.28,0.28,0.297,0.306,0.306,0.324,0.34,0.382,,,,5.455
Fiji,,,,,,,,,,,,,,,,0.631,0.674,0.711,0.723,0.753,0.787,0.848,0.859,0.874,0.861,0.898,0.869,0.861,0.892,0.911,0.951,0.963,1.043,1.072,1.066,,,,17.247
Finland,49.394,48.948,53.016,53.491,53.359,54.39,57.98,57.73,61.08,65.64,64.04,69.38,69.16,70.15,69.46,69.79,74.29,74.73,84.08,85.6,70.33,82.05,80.92,76.98,71.78,80.34,73.21,70.09,70.98,67.81,68.36,68.48,67.13,69.98,68.37,67.97,70.27,,2510.758
France,343.483,362.225,377.867,391.628,406.14,417.2,451.62,460.02,469.66,474.6,491.2,509.16,500.96,507.25,521.23,535.18,545.3,553.64,561.51,568.7,571.2,569.42,563.82,568.84,530.71,564.34,567.4,567.08,576.45,566.19,573.92,558.65,556.08,575.8,565.62,529.6,551.4,,19005.093
French Guiana,,,,,,,,,,,,,,,,0.428,0.585,0.606,0.631,0.655,0.681,0.706,0.901,0.922,1.029,1.104,1.053,0.877,0.875,0.901,0.913,0.913,1.076,1.1,1.162,,,,17.118
French Polynesia,,,,,,,,,,,,,,,,0.389,0.472,0.522,0.572,0.612,0.603,0.629,0.659,0.687,0.701,0.629,0.647,0.647,0.598,0.579,0.58,0.588,0.587,0.585,0.602,,,,11.888
Gabon,,,,,,,,,,,,,,,,1.277,1.345,1.429,1.465,1.484,1.513,1.609,1.68,1.778,1.801,1.865,1.962,2.081,2.023,1.918,2.046,2.246,2.188,2.169,2.21,,,,36.089
Gambia,,,,,,,,,,,,,,,,0.11,0.127,0.142,0.158,0.174,0.192,0.204,0.217,0.229,0.23,0.233,0.245,0.254,0.248,0.267,0.282,0.298,0.306,0.313,0.323,,,,4.552
Georgia,,,,,,,,,,,,,,,,7.271,6.798,7.16,7.057,6.812,7.143,7.116,8.173,8.304,8.415,9.985,9.977,9.475,10.06,10.38,10.83,11.58,11.53,12.14,11.85,,,,182.056
Germany,522.534,523.557,532.442,549.492,559.873,546.82,535.83,533.66,522.49,525.21,532.81,550.69,548.01,552.38,552.54,572.3,581.89,581.96,602.54,610.28,613.41,629.81,632.31,633.2,588.94,624.64,605.17,620.39,631.15,619.95,640.57,642.97,646.01,635.15,601.63,572.53,581.4,,21556.538
Ghana,,,,,,,,,,,,,,,,7.134,7.733,7.107,5.726,5.878,6.676,8.214,6.756,8.149,8.78,9.923,10.922,11.722,12.527,12.624,11.113,9.622,10.885,11.846,12.081,,,,185.418
Gibraltar,,,,,,,,,,,,,,,,0.118,0.118,0.121,0.126,0.128,0.136,0.142,0.146,0.156,0.164,0.166,0.161,0.165,0.178,0.186,0.211,0.201,0.169,0.202,0.199,,,,3.193
Greece,27.74,28.237,30.272,33.394,34.456,34.78,35.74,37.22,38.13,40.39,41.3,42.42,43.29,46.19,49.39,53.42,53.08,53.95,57.9,58.8,59.43,60.17,62.71,62.92,61.07,57.38,59.19,60.75,57.12,50.35,51.83,54.41,55.18,53.25,48.56,46.84,53.62,,1794.879
Greenland,,,,,,,,,,,,,,,,0.421,0.388,0.382,0.33,0.336,0.35,0.382,0.388,0.4,0.425,0.414,0.451,0.439,0.45,0.476,0.51,0.481,0.468,0.513,0.513,,,,8.517
Grenada,,,,,,,,,,,,,,,,0.131,0.143,0.149,0.159,0.15,0.147,0.167,0.179,0.19,0.195,0.204,0.2,0.196,0.194,0.201,0.195,0.206,0.21,0.217,0.224,,,,3.657
Guadeloupe,,,,,,,,,,,,,,,,1.273,1.26,1.218,1.309,1.563,1.573,1.64,1.716,1.699,1.679,1.678,1.695,1.634,1.587,1.604,1.641,1.632,1.649,1.66,1.673,,,,31.383
Guam,,,,,,,,,,,,,,,,1.85,1.85,1.633,1.684,1.775,1.793,1.789,1.767,1.764,1.755,1.758,1.734,1.685,1.674,1.626,1.654,1.722,1.757,1.724,1.735,,,,34.729
Guatemala,,,,,,,,,,,,,,,,6.028,5.828,6.142,7.649,6.747,8.291,8.294,9.022,8.448,8.635,8.651,8.937,9.499,10.22,10.813,11.334,12.06,12.622,13.702,13.579,,,,186.501
Guinea,,,,,,,,,,,,,,,,0.743,0.933,0.984,0.865,0.942,0.881,0.843,0.942,0.967,0.963,0.92,0.85,0.707,0.644,0.696,1.599,2.233,2.479,2.132,2.31,,,,23.633
Guinea-Bissau,,,,,,,,,,,,,,,,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.031,0.032,0.033,0.033,0.035,0.036,0.038,0.042,0.044,,,,0.634
Guyana,,,,,,,,,,,,,,,,0.877,0.91,0.914,0.822,0.858,0.65,0.669,0.704,0.71,0.726,0.825,0.868,0.904,0.926,0.942,1.005,1.038,1.076,1.086,1.111,,,,17.621
Haiti,,,,,,,,,,,,,,,,0.528,0.572,0.527,0.515,0.527,0.536,0.549,0.447,0.466,0.688,0.561,0.653,1.047,1.001,0.977,0.983,1.024,0.999,0.993,0.997,,,,14.59
Honduras,,,,,,,,,,,,,,,,3.546,3.747,3.927,4.353,4.66,5.392,5.742,6.053,6.282,6.377,6.82,7.365,7.653,7.97,8.093,8.831,8.854,9,9.306,9.092,,,,133.063
Hong Kong,19.249,21.419,23.754,25.508,27.363,28.96,31.889,35.076,35.948,26.741,27.916,28.44,28.943,31.414,29.496,29.451,30.486,32.255,33.378,34.904,36.141,36.297,36.612,35.712,36.405,36.036,36.731,36.47,36.757,37.46,35.722,35.957,34.794,34.365,34.687,,,,1122.736
Hungary,26.794,28.044,29.749,29.233,29.596,28.44,29.96,31.68,32.91,33.52,34.02,35.09,35.4,37.2,37.83,35.19,36.42,36.15,34.13,33.71,35.75,35.85,39.96,40.02,35.91,37.37,36.02,34.62,30.25,29.35,30.29,31.81,32.8,31.91,34.05,34.08,34.81,,1239.916
Iceland,3.837,4.058,4.152,4.416,4.475,4.51,4.49,4.55,4.73,4.77,4.98,5.12,5.59,6.27,7.19,7.68,8.03,8.42,8.51,8.61,8.68,9.92,11.97,16.47,16.83,17.06,17.21,17.55,18.11,18.12,18.79,18.55,19.24,19.82,19.49,,,,362.198
India,186.386,202.677,223.669,241.305,272.446,287.763,320.458,337.153,362.176,387.967,427.149,443.205,469.154,505.078,547.362,486.13,508.301,519.639,550.523,586.74,615.133,660.382,693.73,725.458,780.83,824.026,903.829,955.218,1004.83,1103.007,1139.551,1224.126,1285.739,1367.832,1378.174,1341.967,,,23869.113
Indonesia,16.369,18.415,20.72,24.807,28.487,33.115,38.103,40.284,39.707,45.928,54.121,58.868,70.691,76.693,83.971,88.519,96.124,102.596,108.432,113.836,121.012,126.692,135.854,142.476,148.516,161.009,173.609,189.253,204.478,215.624,221.306,234.727,241.326,269.395,281.135,,,,4026.198
Iran,38.915,42.186,45.062,46.97,51.431,57.655,62.814,67.178,74.686,81.004,84.353,89.74,96.983,102.385,110.088,114.283,122.643,133.022,145.202,157.437,168.212,182.042,192.655,201.92,208.463,219.468,226.056,239.248,247.065,258.372,264.971,272.287,289.57,291.285,306.298,335.984,,,5627.933
Iraq,20.973,22.287,22.51,23.45,23.86,28.373,13.359,21.912,27.09,26.663,26.498,25.981,26.693,26.744,24.721,30.017,30.347,31.857,26.662,30.382,28.876,32.098,31.53,34.802,43.032,46.211,50.839,43.476,55.2,63.906,64.751,75.453,82.289,77.65,82.843,,,,1323.335
Ireland,12.088,12.652,13.064,13.228,13.833,14.23,14.93,15.78,16.14,16.83,17.61,18.91,19.69,20.89,21.77,23.67,24.64,24.84,24.86,25.22,25.62,27.11,28.37,29.92,27.97,28.16,27.16,27.13,25.57,25.81,28.1,30.23,30.66,30.9,30.7,31.29,29.88,,849.455
Israel,15.431,16.034,17.677,19.352,20.453,20.898,21.514,24.686,26,28.316,30.437,32.569,35.111,37.976,39.228,40.103,41.315,42.772,44.221,44.445,45.688,47.526,50.566,53.377,51.462,55.046,56.021,59.229,57.713,57.255,60.548,63.16,63.526,64.768,67.377,,,,1451.8
Italy,185.74,192.33,201.372,203.561,210.75,213.15,218.43,222.37,219.39,228.45,237,239.05,245.81,252.93,258.6,269.15,271.08,276.76,285.38,294.83,295.72,306.67,307.21,312.5,287.58,297.91,299.74,296.48,287.07,277.44,280.95,287.2,293.33,287.39,291.35,277.72,282.94,,9695.333
Jamaica,,,,,,,,,,,,,,,,6.222,6.264,6.524,6.725,6.795,6.989,7.038,5.603,3.995,4.053,3.972,4.015,3.925,3.92,3.893,3.891,4.113,4.145,4.169,4.191,,,,100.442
Japan,671.953,676.363,719.085,753.728,799.769,881.5,911.303,916.787,926.103,984.493,1010.88,1029.857,1054.864,1059.663,1079.142,1014.478,996.924,1014.289,1005.432,1033.309,1044.508,1062.509,1103.864,1030.672,1002.088,1111.465,1106.413,1036.395,1046.585,1017.708,997.227,995.365,992.688,987.954,952.384,941.776,,,34969.523
Jordan,,,,,,,,,,,,,,,,6.935,7.094,7.647,7.517,8.432,9.078,10.455,12.223,13.011,13.419,13.894,13.771,15.603,16.228,17.173,17.878,18.533,19.572,19.384,19.746,,,,267.593
